Year,Runner,Country,Time,Time_mins
2023,Evans Chebet,Kenya,2:05:54,125.9
2022,Evans Chebet,Kenya,2:06:51,126.85
2021,Benson Kipruto,Kenya,2:09:51,129.85
2019,Lawrence Cherono,Kenya,2:07:57,127.95
2018,Yuki Kawauchi,Japan,2:15:58,135.9666667
2017,Geoffrey Kirui,Kenya,2:09:37,129.6166667
2016,Lemi Berhanu,Ethiopia,2:12:45,132.75
2015,Lelisa Desisa,Ethiopia,2:09:17,129.2833333
2014,"Mebrahtom ""Meb"" Keflezighi",United States,2:08:37,128.6166667
2013,Lelisa Desisa,Ethiopia,2:10:22,130.3666667
2012,Wesley Korir,Kenya,2:12:40,132.6666667
2011,Geoffrey Mutai,Kenya,2:03:02,123.0333333
2010,Robert Kiprono Cheruiyot,Kenya,2:05:52,125.8666667
2009,Deriba Merga,Ethiopia,2:08:42,128.7
2008,Robert Kipkoech Cheruiyot,Kenya,2:07:46,127.7666667
2007,Robert Kipkoech Cheruiyot,Kenya,2:14:13,134.2166667
2006,Robert Kipkoech Cheruiyot,Kenya,2:07:14,127.2333333
2005,Hailu Negussie,Ethiopia,2:11:45,131.75
2004,Timothy Cherigat,Kenya,2:10:37,130.6166667
2003,Robert Kipkoech Cheruiyot,Kenya,2:10:11,130.1833333
2002,Rodgers Rop,Kenya,2:09:02,129.0333333
2001,Lee Bong-Ju,South Korea,2:09:43,129.7166667
2000,Elijah Lagat,Kenya,2:09:47,129.7833333
1999,Joseph Chebet,Kenya,2:09:52,129.8666667
1998,Moses Tanui,Kenya,2:07:34,127.5666667
1997,Lameck Aguta,Kenya,2:10:34,130.5666667
1996,Moses Tanui,Kenya,2:09:15,129.25
1995,Cosmas Ndeti,Kenya,2:09:22,129.3666667
1994,Cosmas Ndeti,Kenya,2:07:15,127.25
1993,Cosmas Ndeti,Kenya,2:09:33,129.55
1992,Ibrahim Hussein,Kenya,2:08:14,128.2333333
1991,Ibrahim Hussein,Kenya,2:11:06,131.1
1990,Gelindo Bordin,Italy,2:08:19,128.3166667
1989,Abebe Mekonnen,Ethiopia,2:09:06,129.1
1988,Ibrahim Hussein,Kenya,2:08:43,128.7166667
1987,Toshihiko Seko,Japan,2:11:50,131.8333333
1986,Robert de Castella,Australia,2:07:51,127.85
1985,Geoff Smith,England,2:14:05,134.0833333
1984,Geoff Smith,England,2:10:34,130.5666667
1983,Greg A. Meyer,United States,2:09:00,129
1982,Alberto Salazar,United States,2:08:52,128.8666667
1981,Toshihiko Seko,Japan,2:09:26,129.4333333
1980,Bill Rodgers,United States,2:12:11,132.1833333
1979,Bill Rodgers,United States,2:09:27,129.45
1978,Bill Rodgers,United States,2:10:13,130.2166667
1977,Jerome Drayton,Canada,2:14:46,134.7666667
1976,Jack Fultz,United States,2:20:19,140.3166667
1975,Bill Rodgers,United States,2:09:55,129.9166667
1974,Neil Cusack,Ireland,2:13:39,133.65
1973,Jon Anderson,United States,2:16:03,136.05
1972,Olavi Suomalainen,Finland,2:15:39,135.65
1971,Alvaro Mejia,Colombia,2:18:45,138.75
1970,Ron Hill,England,2:10:30,130.5
1969,Yoshiaki Unetani,Japan,2:13:49,133.8166667
1968,Amby Burfoot,United States,2:22:17,142.2833333
1967,David C. McKenzie,New Zealand,2:15:45,135.75
1966,Kenji Kimihara,Japan,2:17:11,137.1833333
1965,Morio Shigematsu,Japan,2:16:33,136.55
1964,Aurele Vandendriessche,Belgium,2:19:59,139.9833333
1963,Aurele Vandendriessche,Belgium,2:18:58,138.9666667
1962,Eino Oksanen,Finland,2:23:48,143.8
1961,Eino Oksanen,Finland,2:23:39,143.65
1960,Paavo Kotila,Finland,2:20:54,140.9
1959,Eino Oksanen,Finland,2:22:42,142.7
1958,Franjo Mihalic,Yugoslavia,2:25:54,145.9
1957,John J. Kelley,United States,2:20:05,140.0833333
1956,Antti Viskari,Finland,2:14:14,134.2333333
