Team,ELO
Brazil,1841.3
Belgium,1816.71
Argentina,1773.88
France,1759.78
England,1728.47
Spain,1715.22
Netherlands,1694.51
Portugal,1676.56
Denmark,1666.57
Germany,1650.21
Croatia,1645.64
Mexico,1644.89
Uruguay,1638.71
Switzerland,1635.92
United States,1627.48
Senegal,1584.38
Wales,1569.82
Iran,1564.61
Serbia,1563.62
Morocco,1563.5
Japan,1559.54
Poland,1548.59
South Korea,1530.3
Tunisia,1507.54
Costa Rica,1503.59
Australia,1488.72
Canada,1475
Cameroon,1471.44
Ecuador,1464.39
Qatar,1439.89
Saudi Arabia,1437.78
Ghana,1393
